Rank,Company Name,Number of Employees,Previous Rank,Revenues,Revenue Change,Profits,Profit Change,Assets,Market Value
1,Walmart,"23,00,000",1,"4,85,873",0.008,13643,-0.072,"1,98,825","2,18,619"
2,Berkshire Hathaway,"3,67,700",4,"2,23,604",0.061,24074,0,"6,20,854","4,11,035"
3,Apple,"1,16,000",3,"2,15,639",-0.077,45687,-0.144,"3,21,686","7,53,718"
4,Exxon Mobil,72700,2,"2,05,004",-0.167,7840,-0.515,"3,30,314","3,40,056"
5,McKesson,68000,5,"1,92,487",0.062,2258,0.53,56563,31439
6,UnitedHealth Group,"2,30,000",6,"1,84,840",0.177,7017,0.207,"1,22,810","1,57,793"
7,CVS Health,"2,04,000",7,"1,77,526",0.158,5317,0.015,94462,81310
8,General Motors,"2,25,000",8,"1,66,380",0.092,9427,-0.027,"2,21,690",52968
9,AT&T,"2,68,540",10,"1,63,786",0.116,12976,-0.028,"4,03,821","2,55,679"
10,Ford Motor,"2,01,000",9,"1,51,800",0.015,4596,-0.377,"2,37,951",46349
11,AmerisourceBergen,18500,12,"1,46,850",0.08,1427.9,-,33656,19229
12,Amazon.com,"3,41,400",18,"1,35,987",0.271,2371,2.978,83402,"4,23,031"
13,General Electric,"2,95,000",11,"1,26,661",-0.098,8831,-,"3,65,183","2,59,520"
14,Verizon,"1,60,900",13,"1,25,980",-0.043,13127,-0.266,"2,44,180","1,98,900"
15,Cardinal Health,37300,21,"1,21,546",0.185,1427,0.174,34122,25725
16,Costco,"1,72,000",15,"1,18,719",0.022,2350,-0.011,33163,73606
17,Walgreens Boots Alliance,"3,00,000",19,"1,17,351",0.134,4173,-0.011,72688,89645
18,Kroger,"4,43,000",17,"1,15,337",0.05,1975,-0.031,36505,26961
19,Chevron,55200,14,"1,07,567",-0.18,-497,-1.108,"2,60,078","2,03,263"
20,Fannie Mae,7000,16,"1,07,162",-0.029,12313,0.124,"32,87,968",3011
21,J.P. Morgan Chase,"2,43,355",23,"1,05,486",0.044,24733,0.012,"24,90,972","3,13,761"
22,Express Scripts Holding,25600,22,"1,00,288",-0.014,3404.4,0.375,51745,39567
23,Home Depot,"4,06,000",28,94595,0.069,7957,0.135,42966,"1,76,368"
24,Boeing,"1,50,540",24,94571,-0.016,4895,-0.054,89997,"1,07,546"
25,Wells Fargo,"2,69,100",27,94176,0.046,21938,-0.042,"19,30,115","2,78,516"
26,Bank of America Corp.,"2,08,024",26,93662,0.007,17906,0.127,"21,87,702","2,36,182"
27,Alphabet,72053,36,90272,0.204,19478,0.191,"1,67,497","5,79,426"
28,Microsoft,"1,14,000",25,85320,-0.088,16798,0.378,"1,93,694","5,08,935"
29,Anthem,53000,33,84863,0.072,2469.8,-0.035,65083,43813
30,Citigroup,"2,19,000",29,82386,-0.067,14912,-0.135,"17,92,077","1,65,394"
31,Comcast,"1,59,000",37,80403,0.079,8695,0.065,"1,80,500","1,78,258"
32,IBM,"4,14,400",31,79919,-0.031,11872,-0.1,"1,17,470","1,64,251"
33,State Farm Insurance Cos.,68234,35,76132,0.006,350.3,-0.944,"2,56,030",-
34,Phillips 66,14800,30,72396,-0.169,1555,-0.632,51653,40954
35,Johnson & Johnson,"1,26,400",39,71890,0.026,16540,0.073,"1,41,208","3,37,642"
36,Procter & Gamble,"1,05,000",34,71726,-0.089,10508,0.493,"1,27,136","2,29,700"
37,Valero Energy,9996,32,70166,-0.142,2289,-0.426,46173,29746
38,Target,"3,23,000",38,69495,-0.058,2737,-0.186,37431,30502
39,Freddie Mac,5982,43,65665,0.034,7815,0.226,"20,23,376",1612
40,LoweÕs,"2,40,000",47,65017,0.101,3093,0.215,34408,70481
41,Dell Technologies,"1,38,000",,64806,0.181,-1672,-,"1,18,206",-
42,MetLife,58000,40,63476,-0.093,800,-0.849,"8,98,764",57429
43,Aetna,49500,46,63155,0.047,2271,-0.05,69146,44859
44,PepsiCo,"2,64,000",44,62799,-0.004,6329,0.161,74129,"1,59,763"
