"name","description","make","model","type","year","price","engine","cylinders","fuel","mileage","transmission","trim","body","doors","exterior_color","interior_color","drivetrain"
"2024 Jeep Wagoneer Series II","
      
        Heated Leather Seats, Nav System, Moonroof, Third Row Seat, 4x4, Turbo Charged Engine, Hitch, ENGINE: 3.0L I6 HURRICANE SO TWIN TUR... Quad Bucket Seats. Series II Carbide trim, Bright White Clearcoat exterior and Global Black interior KEY FEATURES INCLUDELeather Seats, Navigation, 4x4, Power Liftgate, Rear Air OPTION PACKAGESQUICK ORDER PACKAGE 25F CARBIDE Engine: 3.0L I6 Hurricane SO Twin Turbo ESS, Transmission: 8-Speed Automatic (8HP75), Reversible Carpet/Vinyl Cargo Mat, Cargo Cover, Black Interior Accents, Carbide Appearance Package, 3 Panel Sunroof, Adjustable Roof Rail Crossbars, Piano Black Exterior Accents, HD TRAILER TOW PACKAGE Trailer Brake Control, Heavy Duty Engine Cooling, Electronic Rear Limited Slip Differential, Black Tow Hooks, Removable Rear Tow Hook, Trailer Hitch Zoom, 2 Speed On Demand Transfer Case, Wheels: 22 x 9.0 Painted Gloss Black, 3.92 Rear Axle Ratio, Selec-Speed Control, FLEXIBLE SEATING GROUP 60/40 Power Recline 3rd Row Seat, Power Tip/Slide Recline 2nd Row Buckets, 7 Passenger Seating, Floor Console w/Cupholder, TRANSMISSION: 8-SPEED AUTOMATIC (8HP75) (STD), ENGINE: 3.0L I6 HURRICANE SO TWIN TURBO ESS (STD). OUR OFFERINGSOur team has been serving our hometown of Rockwall, along with the communities of Terrell, Rowlett, Wylie and others for a long timelonger than many of you might have owned your current car, in fact. With those years of experience comes expertise in auto sales, finance and maintenance, which we put to your advantage. Were excited to show you how! Please confirm the accuracy of the included equipment by calling us prior to purchase. 
      
    Shop The Rock!","Jeep","Wagoneer","New","2024","74600","24V GDI DOHC Twin Turbo","6","Gasoline","10","8-Speed Automatic","Series II","SUV","4","White","Global Black","Four-wheel Drive"
"2024 Jeep Grand Cherokee Laredo","Al West is committed to offering every customer up-front value pricing, in-depth vehicle history reports, and limited warranties on every vehicle we sell. Al West has been locally family owned and operated since 1969 and has an A+ BBB rating.","Jeep","Grand Cherokee","New","2024","50170","OHV","6","Gasoline","1","8-Speed Automatic","Laredo","SUV","4","Metallic","Global Black","Four-wheel Drive"
"2024 GMC Yukon XL Denali","","GMC","Yukon XL","New","2024","96410","6.2L V-8 gasoline direct injection, variable valve contr","8","Gasoline","0","Automatic","Denali","SUV","4","Summit White","Teak/Light Shale","Four-wheel Drive"
"2023 Dodge Durango Pursuit","White Knuckle Clearcoat 2023 Dodge Durango Pursuit AWD 8-Speed Automatic HEMI 5.7L V8 Multi Displacement VVT","Dodge","Durango","New","2023","46835","16V MPFI OHV","8","Gasoline","32","8-Speed Automatic","Pursuit","SUV","4","White Knuckle Clearcoat","Black","All-wheel Drive"
"2024 RAM 3500 Laramie","
      
        2024 Ram 3500 Laramie Billet Silver Metallic Clearcoat 4WD Aisin 6-Speed Automatic I6 Here at Silverthorne Ford Chrysler Jeep Dodge Ram we have been family owned for more than 10 years. We proudly serve the Robinson IL community, we also serve Terre Haute and all surrounding areas. We offer Contactless purchase, Virtual appointments, Private dealer appointments, Free home drop-off, and Free test drive at home within 25 miles of our dealership. Please Contact us at (618) 546-5440 to schedule the appointment option of your choice. We have a strong and committed sales staff with many years of experience in satisfying our customers' needs. Chrome Bumper Package (Bright Rear Bumper), Laramie Level B Equipment Group (18' x 8' Polished Aluminum Wheels, 2nd Row In Floor Storage Bins, 4G LTE Wi-Fi Hot Spot, Alexa Built-In, Apple CarPlay, Auto Adjust In Reverse Exterior Mirrors, Blind Spot Cross Path Detection, Center Hub, Chrome Exterior Mirrors, Connected Travel Traffic Services, Connectivity - US/Canada, Disassociated Touchscreen Display, Exterior Mirrors Courtesy Lamps, Exterior Mirrors w/Heating Element, Exterior Mirrors w/Supplemental Signals, Foam Bottle Insert (Door Trim Panel), For Details Visit DriveUconnect.com, For More Info, Call 800-643-2112, Global Telematics Box Module (TBM), Google Android Auto, GPS Antenna Input, GPS Navigation, HD Radio, Heated Second Row Seats, Integrated Voice Command w/Bluetooth, Off-Road Information Pages, Power Adjust Mirrors, Power Telescoping Mirrors, Power-Adjustable Convex Aux Mirrors, Radio: Uconnect 5 Nav w/12.0' Display, Rain Sensitive Windshield Wipers, Rear Window Defroster, Selectable Tire Fill Alert, SiriusXM Radio Service, SiriusXM w/360L, and Trailer Tow Pages), Quick Order Package 21H Laramie, 10 Speakers, 115V Auxiliary Rear Power Outlet, 2 Way Rear Headrest Seat, 220 Amp Alternator, 3.73 Axle Ratio, 4 Way Front Headrests, 4-Wheel Disc Brakes, 50 Gallon Fuel Tank, 5th Wheel/Gooseneck Towing Prep Group, 8.4' Touchscreen D
      
    Please visit our website for additional rebates and incentives offered.","RAM","3500","New","2024","81663","24V DDI OHV Turbo Diesel","6","Diesel","10","6-Speed Automatic","Laramie","Pickup Truck","4","Silver","Black","Four-wheel Drive"
"2024 Nissan Murano Platinum","
      
        Boasts 28 Highway MPG and 20 City MPG! This Nissan Murano delivers a Regular Unleaded V-6 3.5 L/213 engine powering this Variable transmission. PEARL WHITE TRICOAT, MOCHA, SEMI-ANILINE LEATHER-APPOINTED SEAT TRIM -inc: diamond-quilted inserts, [M92] CARGO PACKAGE -inc: Cargo Area Protector, Retractable Cargo Cover, Cargo Net, First Aid Kit. This Nissan Murano Comes Equipped with These Options [B93] REAR BUMPER PROTECTOR, [B92] SPLASH GUARDS (B92), Window Grid And Roof Mount Diversity Antenna, Wi-Fi Hotspot Selective Service Internet Access, Wheels: 20 Unique Dark Hyper Silver, Valet Function, Turn-By-Turn Navigation Directions, Trunk/Hatch Auto-Latch, Trip computer, Transmission: Xtronic Continuously Variable (CVT). Stop By Today Stop by Gates GMC Nissan Buick located at 143 Boston Post Rd, North Windham, CT 06256 for a quick visit and a great vehicle! - For more information on this or any other Gates GMC Nissan vehicle go to www.gatesgmcnissan.com.#gatesgetsit #wetakeanythingintrade #goatsboatstrainsplanes #2yrsfreemaintenance. Price includes all manufacturer rebates.
      
    Goats, Boats, Trains, and Planes. You Name It, We Will Trade It. Here at Gates GMC Buick Nissan and NV. First 4 Oil Changes are included with the purchase of any new and pre-owned vehicle. Give us a call today at 800-917-5916","Nissan","Murano","New","2024","46000","24V MPFI DOHC","6","Gasoline","3838","Automatic CVT","Platinum","SUV","4","White","Gray","All-wheel Drive"
"2024 Jeep Wagoneer Base","
      
         Alloy Wheels / Premium Wheels,  Apple CarPlay / Android Auto,  Backup Camera / Parking Sensors,  Bluetooth, Hands-Free,  Brake Assist,  Cruise Control,  Keyless Entry,  Keyless Start,  LED Headlights,  Premium Sound System / Premium Audio,  Satellite Radio Capable,  Security System,  Stability Control,  Steering Wheel Controls,  USB Port, All-Season Floor Mats, Cargo Tray, MOPAR Interior Protection Package, Navigation System, Quick Order Package 25E.
      
    Please see our website for a full list of rebates and incentives. All offers are WAC. See dealer for details.","Jeep","Wagoneer","New","2024","63862","24V GDI DOHC Twin Turbo","6","Gasoline","5","8-Speed Automatic","Base","SUV","4","Bright White Clearcoat","Black","Rear-wheel Drive"
"2024 Ford F-350 Lariat Super Duty","
      
        Engine: 6.7L High Output Power Stroke V8 Diesel,Lariat Ultimate Package,Tremor Off-Road Package,Sport Appearance Package,5Th Wheel/Gooseneck Hitch Prep Package,Leather Seats,Navigation System,Electronic-Locking W/3.55 Axle Ratio,Dual 68 Ah/65 Agm Batteries,Engine Block Heater,All-Weather Floor Mats,Lane Keeping Assist,Keyless Start,Heads-Up Display,Cooled Front Seat(S),Black Onyx; Front Leather-Trimmed 40/Console/40 Seats,Carbonized Gray Metallic,Front License Plate Bracket,Order Code 618A,Transmission: Torqshift 10-Speed Automatic
      
    ","Ford","F-350","New","2024","89978","32V DDI OHV Turbo Diesel","8","Diesel","15","10-Speed Automatic","Lariat Super Duty","Pickup Truck","4","Carbonized Gray Metallic","Black Onyx","Four-wheel Drive"
"2024 Hyundai Tucson Hybrid Limited","","Hyundai","Tucson Hybrid","New","2024","42230","16V GDI DOHC Turbo Hybrid","4","Hybrid","5","6-Speed Automatic","Limited","SUV","4","White Pearl","Black","All-wheel Drive"
"2024 Jeep Grand Cherokee Altitude","
      
        Silver Zynith 2024 Jeep Grand Cherokee Laredo 4WD 8-Speed Automatic 3.6L V6 24V VVT 4WD.Waynesboro CDJR delivers all over the continental USA! Home or Office delivery is free anywhere within 100 miles. Contact us for delivery prices outside of the Augusta, Atlanta, and Columbia area. 19/26 City/Highway MPGDisclaimer: Please mention or show the website price to receive the price shown online. The price also includes all applicable coupons, rebates, and incentives some of which require you to finance the vehicle with Chrysler or Stellantis Financial. These offers are only applicable with approved credit. Some discounted APR offers may be stand-alone and not in combination with rebates and incentives. These prices are only applicable at Waynesboro Chrysler Dodge Jeep Ram located in Waynesboro, Georgia. This price is specific to this one vehicle and may not apply to other vehicles. These offers are time sensitive and although every effort is made to show accurate rebates and incentives, rebates change without prior notice. For that reason, the price shown does not apply to prior purchases. Please contact the dealer for accurate information. Some new vehicles have equipment installed by the dealer. The optional equipment may not be reflected in the price but will be disclosed when you verify your vehicle before arrival. Every effort will be made to include these items in the price shown. The additional equipment may be removed at the buyer's discretion. The price shown does not include Tax, Title, and Tags which must be paid by the purchaser. While great effort is made to ensure the accuracy of the information on this site, errors do occur so please verify information with a customer service rep. This is easily done by calling us at 7063609400. Pricing only valid when financing thru Chrysler Financial. The selling price includes all rebates including Chrysler Capital rebate on select models, subprime rebate, military rebate, contact Waynesboro Chrysler Dodge Jeep Ram to determine the price you qualify for based on you. Some vehicles may have dealer installed optional equipment which may not be included in price. The optional equipment may be removed upon customer request. Price includes: $1000 - 2024 JEEP Southeast BC Retail Consumer Cash 66CR1. Exp. 06/03/2024 $500 - 2024 JEEP Retail Bonus Cash 24CRA1. Exp. 01/02/2025 $750 - 2024 JR Southeast BC Retail Bonus Cash SECRA1. Exp. 06/03/2024
      
    You're Good To Go at Waynesboro! Waynesboro Chrysler Dodge Jeep Ram has received the Customer First Award for Excellence for 2018.","Jeep","Grand Cherokee","New","2024","42773","ar 3.6L V-6 DOHC, variable valve control, regular unleade","6","Gasoline","20","Automatic","Altitude","SUV","4","Silver Zynith","Global Black","Four-wheel Drive"
