order_id,date,time,Start of Hour,order_item_count,ItemCountCategory,Start of Month,Day Name,Day Type,order_item_count (groups)
74,"Friday, January 2, 2015",12:01:12,12:00:00 PM,4,1,"Thursday, January 1, 2015",Friday,WeekDays,4
75,"Friday, January 2, 2015",12:10:15,12:00:00 PM,3,1,"Thursday, January 1, 2015",Friday,WeekDays,3
76,"Friday, January 2, 2015",12:21:17,12:00:00 PM,4,1,"Thursday, January 1, 2015",Friday,WeekDays,4
77,"Friday, January 2, 2015",12:22:46,12:00:00 PM,2,1,"Thursday, January 1, 2015",Friday,WeekDays,2
78,"Friday, January 2, 2015",12:28:14,12:00:00 PM,6,10-Jun,"Thursday, January 1, 2015",Friday,WeekDays,5 +
79,"Friday, January 2, 2015",12:29:11,12:00:00 PM,3,1,"Thursday, January 1, 2015",Friday,WeekDays,3
80,"Friday, January 2, 2015",12:35:38,12:00:00 PM,2,1,"Thursday, January 1, 2015",Friday,WeekDays,2
81,"Friday, January 2, 2015",12:40:01,12:00:00 PM,1,1,"Thursday, January 1, 2015",Friday,WeekDays,1
82,"Friday, January 2, 2015",12:45:51,12:00:00 PM,4,1,"Thursday, January 1, 2015",Friday,WeekDays,4
83,"Friday, January 2, 2015",12:53:27,12:00:00 PM,1,1,"Thursday, January 1, 2015",Friday,WeekDays,1
506,"Friday, January 9, 2015",12:02:09,12:00:00 PM,1,1,"Thursday, January 1, 2015",Friday,WeekDays,1
507,"Friday, January 9, 2015",12:06:03,12:00:00 PM,1,1,"Thursday, January 1, 2015",Friday,WeekDays,1
508,"Friday, January 9, 2015",12:13:32,12:00:00 PM,3,1,"Thursday, January 1, 2015",Friday,WeekDays,3
509,"Friday, January 9, 2015",12:13:58,12:00:00 PM,1,1,"Thursday, January 1, 2015",Friday,WeekDays,1
510,"Friday, January 9, 2015",12:15:03,12:00:00 PM,4,1,"Thursday, January 1, 2015",Friday,WeekDays,4
511,"Friday, January 9, 2015",12:18:21,12:00:00 PM,1,1,"Thursday, January 1, 2015",Friday,WeekDays,1
512,"Friday, January 9, 2015",12:19:24,12:00:00 PM,1,1,"Thursday, January 1, 2015",Friday,WeekDays,1
513,"Friday, January 9, 2015",12:22:48,12:00:00 PM,4,1,"Thursday, January 1, 2015",Friday,WeekDays,4
514,"Friday, January 9, 2015",12:26:47,12:00:00 PM,1,1,"Thursday, January 1, 2015",Friday,WeekDays,1
914,"Friday, January 16, 2015",12:14:22,12:00:00 PM,1,1,"Thursday, January 1, 2015",Friday,WeekDays,1
915,"Friday, January 16, 2015",12:20:22,12:00:00 PM,8,10-Jun,"Thursday, January 1, 2015",Friday,WeekDays,5 +
916,"Friday, January 16, 2015",12:30:09,12:00:00 PM,4,1,"Thursday, January 1, 2015",Friday,WeekDays,4
917,"Friday, January 16, 2015",12:34:15,12:00:00 PM,1,1,"Thursday, January 1, 2015",Friday,WeekDays,1
1326,"Friday, January 23, 2015",12:00:54,12:00:00 PM,2,1,"Thursday, January 1, 2015",Friday,WeekDays,2
1327,"Friday, January 23, 2015",12:01:01,12:00:00 PM,1,1,"Thursday, January 1, 2015",Friday,WeekDays,1
1328,"Friday, January 23, 2015",12:29:42,12:00:00 PM,1,1,"Thursday, January 1, 2015",Friday,WeekDays,1
1329,"Friday, January 23, 2015",12:49:11,12:00:00 PM,1,1,"Thursday, January 1, 2015",Friday,WeekDays,1
1330,"Friday, January 23, 2015",12:54:53,12:00:00 PM,2,1,"Thursday, January 1, 2015",Friday,WeekDays,2
1331,"Friday, January 23, 2015",12:54:56,12:00:00 PM,3,1,"Thursday, January 1, 2015",Friday,WeekDays,3
1332,"Friday, January 23, 2015",12:55:29,12:00:00 PM,1,1,"Thursday, January 1, 2015",Friday,WeekDays,1
1333,"Friday, January 23, 2015",12:57:07,12:00:00 PM,2,1,"Thursday, January 1, 2015",Friday,WeekDays,2
1731,"Friday, January 30, 2015",12:17:29,12:00:00 PM,1,1,"Thursday, January 1, 2015",Friday,WeekDays,1
1732,"Friday, January 30, 2015",12:20:46,12:00:00 PM,3,1,"Thursday, January 1, 2015",Friday,WeekDays,3
